gene,control-XX,control-FB,control-BR,control-BC,control-BS,NC_pub,NC_pub,NC_pub,SRR4787052
ENSG00000271555_AC113139.1,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00
ENSG00000271557_YPEL5P2,0.00,0.32,0.21,0.14,0.00,0.00,0.45,0.00,0.24
ENSG00000271558_AL391813.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271559_AL138966.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271560_AP001330.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271563_HIRAP1,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271564_LINC02333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271565_AL109618.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271567_PPIAL4E,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
ENSG00000271568_AC069304.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271569_IGKV1OR2-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
ENSG00000271573_AL136982.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271576_AL359504.2,1.59,2.97,2.33,3.87,2.65,0.50,0.00,0.00,1.94
ENSG00000271578_AC119501.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271579_AC078880.3,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.05
ENSG00000271580_AL583832.1,0.00,0.37,0.30,0.38,0.07,0.12,1.09,0.16,0.00
ENSG00000271581_AL671883.3,2.56,0.47,0.96,2.94,2.96,0.00,1.35,0.16,0.06
ENSG00000271582_AC073111.2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00
ENSG00000271583_AC103881.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
ENSG00000271584_LINC02550,0.23,0.09,0.06,0.16,0.13,0.00,0.45,0.00,0.05
ENSG00000271585_AC011416.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271586_AC011894.1,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00
ENSG00000271587_AC004805.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271588_LARP7P1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271589_AL139395.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00
ENSG00000271590_AC108463.3,0.00,0.02,0.01,0.00,0.13,0.00,0.09,0.00,0.04
ENSG00000271595_ELOCP35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271596_AC008121.1,0.22,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.86
ENSG00000271597_AC112230.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271598_AC008739.3,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,0.00
ENSG00000271600_AP000942.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271601_LIX1L,12.39,22.81,12.26,12.92,8.34,3.20,4.36,1.69,11.49
ENSG00000271602_KRT8P49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271605_MILR1,2.43,0.73,1.88,1.44,2.90,220.27,136.81,46.14,1.20
ENSG00000271606_AC097467.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271607_Z84480.1,0.29,0.10,0.00,0.00,0.00,0.72,0.00,0.00,0.31
ENSG00000271608_AL391646.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20
ENSG00000271609_AC005632.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95
ENSG00000271611_AC006006.1,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00
ENSG00000271612_HSPE1P14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271614_ATP2B1-AS1,1.84,2.80,4.93,3.77,1.85,3.39,4.67,1.26,1.77
ENSG00000271615_ACTG1P22,0.00,0.00,0.00,0.00,0.05,0.00,1.01,0.04,0.00
ENSG00000271616_AC055876.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271618_AL359821.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271620_IGHV3OR16-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271621_AC013244.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00
ENSG00000271623_AC138894.3,0.00,0.09,0.26,0.16,0.10,0.00,0.23,0.00,0.00
ENSG00000271624_AP004372.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
ENSG00000271625_PSMA6P4,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00
ENSG00000271626_AC104763.2,0.00,0.00,0.09,0.00,0.00,0.00,3.16,0.27,0.00
ENSG00000271627_AC027612.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271629_AC067959.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271631_AL139041.1,0.13,0.17,0.13,0.30,0.20,0.80,0.24,0.10,0.52
ENSG00000271632_AL589743.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271635_AC017002.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271638_BNIP3P19,0.09,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.11
ENSG00000271639_AC019072.1,0.00,0.02,0.00,0.02,0.00,0.17,1.36,0.34,0.00
ENSG00000271642_MARK3P1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271643_AC112220.4,0.10,0.07,0.13,0.64,0.48,0.07,0.38,0.00,0.08
ENSG00000271644_AC242498.1,0.00,4.16,0.00,0.00,0.00,0.00,78.00,0.00,120.26
ENSG00000271646_AC099343.3,0.78,0.37,1.02,0.59,1.71,1.44,4.65,0.96,0.16
ENSG00000271647_KRT8P47,0.04,0.00,0.01,0.00,0.00,0.00,0.17,0.00,0.00
ENSG00000271649_LINC00904,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271650_AL031601.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271652_AL356052.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00
ENSG00000271653_AC097359.3,1.54,1.42,0.83,0.38,0.04,0.00,0.00,0.00,1.51
ENSG00000271654_AC025062.2,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.19,0.00
ENSG00000271655_BNIP3P35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00
ENSG00000271656_AC007262.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
ENSG00000271657_AC018462.2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.20
ENSG00000271659_AL161729.4,1.25,1.19,1.92,4.58,0.88,0.00,0.48,0.42,0.74
ENSG00000271660_Z99497.2,0.29,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271661_BNIP3P36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271662_AC233280.2,0.24,0.71,0.31,0.30,0.15,0.09,0.00,0.03,0.07
ENSG00000271664_AC004890.3,0.02,0.25,0.12,0.03,0.33,0.75,1.58,0.14,0.00
ENSG00000271666_AC008555.7,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271667_AC104408.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271670_AC010998.2,0.00,0.08,0.00,0.11,0.00,3.00,4.05,0.64,0.00
ENSG00000271671_AC107304.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271672_DUXAP8,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271676_AC104771.1,0.16,0.08,0.14,0.13,0.00,0.00,0.00,0.03,0.06
ENSG00000271677_Z82195.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271679_LSM1P2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271680_AC098935.2,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271681_AC136601.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271682_AC092960.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271686_AL953862.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271687_MTND5P10,0.03,0.02,0.01,0.00,0.00,0.44,0.19,0.08,0.00
ENSG00000271691_AC140658.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00
ENSG00000271693_AL929325.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271696_AC023141.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271697_AL049779.4,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.82,0.00
ENSG00000271698_AC233992.2,0.11,1.92,1.55,2.40,1.01,0.00,0.21,0.05,1.21
ENSG00000271699_SNX29P2,0.13,0.45,0.61,0.76,1.21,0.08,1.63,0.28,1.72
ENSG00000271701_AC098483.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271702_AC123786.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271704_BNIP3P20,0.09,0.00,0.05,0.06,0.00,0.00,0.00,0.00,0.00
ENSG00000271705_RPL17P3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
ENSG00000271707_ATP1B3P1,0.00,0.40,0.00,0.08,0.20,0.00,0.43,0.11,0.07
ENSG00000271709_AC017033.1,0.00,0.09,0.14,0.24,0.16,0.00,0.00,0.00,0.17
ENSG00000271710_NDUFA8P1,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271711_AC069236.1,0.38,0.10,0.08,0.47,0.20,0.00,7.40,0.87,0.00
ENSG00000271712_AL163642.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271714_AC010501.1,1.14,0.93,3.56,2.27,1.91,0.00,0.00,0.00,0.52
ENSG00000271715_AC012640.3,0.97,0.06,0.15,0.00,0.00,0.00,0.00,0.00,0.52
ENSG00000271716_AC022001.2,0.00,0.04,0.00,0.51,0.00,0.00,0.38,0.11,0.00
ENSG00000271717_AC022146.2,0.00,0.25,0.00,0.15,0.25,0.00,0.71,0.00,0.25
ENSG00000271723_MROH7-TTC4,0.16,0.44,1.04,1.27,0.38,0.00,0.00,0.02,0.26
ENSG00000271724_AC011396.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271725_AC103858.1,0.00,0.35,0.56,0.95,0.29,6.26,6.00,1.18,1.18
ENSG00000271727_AL357054.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71
ENSG00000271730_AL390208.1,0.14,0.74,1.18,2.87,1.71,0.00,1.48,0.58,0.48
ENSG00000271732_AL137798.1,0.00,0.26,0.12,0.00,0.54,0.00,0.73,0.00,0.00
ENSG00000271734_Z98200.1,1.22,0.00,0.19,0.18,0.15,0.00,1.80,0.28,0.60
ENSG00000271736_AL138900.3,0.00,0.00,0.04,0.00,0.00,3.86,0.00,0.00,0.10
ENSG00000271737_AC008608.2,1.27,2.09,2.11,0.76,1.83,0.00,0.00,0.08,1.83
ENSG00000271739_RNU1-29P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271741_AC114490.2,0.16,0.08,0.16,0.72,0.11,9.69,10.58,3.85,1.23
ENSG00000271742_AL121992.2,0.00,0.32,0.00,0.31,0.52,0.00,0.00,0.15,0.00
ENSG00000271743_AF287957.1,0.94,0.95,1.48,1.75,1.02,0.00,0.25,0.00,0.42
ENSG00000271746_AL031848.2,0.18,0.00,0.00,0.00,0.20,0.34,1.36,0.04,0.28
ENSG00000271749_AC005828.6,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,3.76
ENSG00000271751_AP003392.5,0.40,0.12,0.94,0.22,1.10,0.25,4.94,0.73,0.73
ENSG00000271752_AC112187.3,0.00,0.38,0.16,0.11,0.00,0.00,1.94,0.42,0.19
ENSG00000271754_AL355802.3,0.25,0.96,0.32,1.58,0.16,0.00,1.11,0.06,0.12
ENSG00000271755_AL031118.1,0.67,1.11,1.24,1.25,0.62,0.27,0.07,0.02,0.55
ENSG00000271757_AP002360.3,1.38,2.18,1.55,2.77,1.72,0.00,0.10,0.00,1.70
ENSG00000271758_AC044810.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271761_AL021368.1,0.10,0.25,0.20,0.36,0.96,0.00,0.00,0.12,0.98
ENSG00000271762_AC123595.2,0.81,0.00,0.06,0.14,0.06,0.00,0.45,0.00,0.00
ENSG00000271763_AC091544.6,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271765_RN7SKP299,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00
ENSG00000271766_AC010424.2,0.07,0.06,0.07,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271771_AC139792.1,0.00,0.00,0.00,0.00,0.00,0.15,0.34,0.05,0.00
ENSG00000271774_AL109930.1,0.41,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271776_AL445209.1,0.00,0.01,0.03,0.03,0.02,0.00,0.00,0.00,0.06
ENSG00000271778_AC080013.3,1.06,0.45,1.24,1.55,1.75,0.00,0.13,0.17,0.78
ENSG00000271779_AC009994.1,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.16,0.00
ENSG00000271780_AL118558.3,2.23,1.99,5.87,2.18,2.67,0.00,0.58,0.08,2.03
ENSG00000271781_AC026740.1,0.18,2.19,1.43,0.55,0.43,0.00,0.00,0.00,0.15
ENSG00000271784_AL031055.1,0.69,1.09,0.61,0.06,0.67,0.00,0.46,0.00,0.10
ENSG00000271787_AC104794.4,2.54,1.62,2.24,2.47,1.87,0.00,0.00,1.64,0.00
ENSG00000271788_AC008875.1,0.49,0.07,0.35,0.16,0.14,0.23,1.14,0.30,0.14
ENSG00000271789_AL080317.2,0.22,0.21,0.29,0.13,0.18,0.26,2.71,0.49,1.33
ENSG00000271792_AC008667.4,0.00,0.00,1.27,1.49,0.00,17.47,0.00,0.00,0.00
ENSG00000271793_AL589666.1,0.47,0.13,0.11,0.88,0.00,1.17,1.75,0.71,1.15
ENSG00000271795_AC011337.1,0.17,0.45,4.36,6.55,3.26,0.00,0.54,0.19,1.07
ENSG00000271797_AC008494.3,0.24,0.67,0.40,0.36,0.24,0.31,1.85,0.57,0.30
ENSG00000271798_SNORA51,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.16,0.00
ENSG00000271803_AL121906.1,0.00,0.06,0.28,0.00,0.00,0.00,0.18,0.00,0.00
ENSG00000271806_AL590822.2,0.04,0.24,0.38,0.59,0.19,0.02,0.02,0.01,0.03
ENSG00000271810_AL603832.3,0.37,0.77,0.75,1.96,0.79,0.00,0.30,0.00,0.55
ENSG00000271811_Z97200.1,0.37,0.06,0.10,0.10,0.02,0.00,0.00,0.00,0.20
ENSG00000271814_RN7SKP290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271815_AC008897.3,0.31,1.55,0.91,0.84,0.57,5.66,0.79,0.75,0.29
ENSG00000271816_BMS1P4,0.00,0.68,0.72,0.58,0.19,0.28,3.48,0.65,1.79
ENSG00000271817_U3,0.00,0.24,0.38,0.98,0.84,0.00,0.45,0.19,2.97
ENSG00000271818_RN7SKP4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271819_RNU6-94P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271820_AL109910.2,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.03
ENSG00000271821_AL662844.3,0.00,0.00,0.00,0.00,0.52,0.00,3.09,0.00,0.13
ENSG00000271824_AC009014.1,3.65,4.73,7.26,2.64,3.70,0.00,0.00,0.00,1.60
ENSG00000271825_AC019080.3,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.08,0.00
ENSG00000271826_PLS3-AS1,0.56,0.10,0.32,0.20,0.19,0.00,0.00,0.00,0.00
ENSG00000271828_AC008937.3,0.19,0.02,0.14,0.70,0.29,1.58,0.53,0.12,0.00
ENSG00000271830_AC012213.4,1.31,1.22,4.55,3.63,3.93,0.00,0.00,0.00,1.45
ENSG00000271833_AL445222.1,0.65,1.57,1.71,2.29,1.26,0.00,5.02,0.25,7.28
ENSG00000271840_AL031281.2,0.26,0.40,0.42,0.54,0.23,0.25,2.40,0.78,2.85
ENSG00000271841_RNU7-10P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271843_AC012557.1,1.11,0.80,0.51,1.85,0.71,0.96,1.93,0.41,0.52
ENSG00000271848_AC073389.2,0.00,0.19,0.14,0.07,0.11,0.00,0.00,0.00,0.80
ENSG00000271849_AC012603.1,3.50,2.21,4.11,1.11,0.75,0.00,5.99,2.33,0.63
ENSG00000271850_LINC02343,0.00,0.00,0.05,0.00,0.11,0.00,0.00,0.00,0.00
ENSG00000271851_AC087501.5,0.52,0.69,0.44,0.42,0.22,0.00,0.70,0.06,0.71
ENSG00000271852_SNORD11B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271853_AL162258.1,0.46,0.63,1.36,0.72,1.51,0.00,0.00,0.00,0.00
ENSG00000271855_AC073195.1,1.74,2.75,2.27,1.33,1.94,0.00,0.16,0.07,1.56
ENSG00000271856_LINC01215,0.03,0.02,0.03,0.01,0.02,0.00,0.15,0.00,0.06
ENSG00000271857_AL096865.1,0.65,0.34,0.51,0.03,0.41,2.51,4.85,3.62,0.30
ENSG00000271858_CYB561D2,4.60,3.94,4.69,3.90,2.38,0.00,0.00,0.03,1.67
ENSG00000271860_AL589740.1,1.05,5.45,1.29,0.13,0.46,0.14,0.57,0.04,19.30
ENSG00000271862_AC104118.1,0.10,0.17,0.18,0.94,0.47,0.00,0.98,0.53,0.46
ENSG00000271868_AC114810.1,0.57,1.60,0.88,2.18,0.59,0.00,1.78,0.14,0.30
ENSG00000271869_AC026979.3,4.80,3.75,2.97,2.97,3.86,1.56,8.47,2.37,0.19
ENSG00000271870_AC024060.1,7.37,1.64,2.40,9.78,6.62,1.22,0.46,0.66,1.96
ENSG00000271871_AC005740.4,0.16,0.27,0.26,0.50,0.34,2.04,4.76,0.06,1.23
ENSG00000271874_AC025754.2,0.00,0.81,0.00,0.30,0.34,0.00,0.00,0.00,0.52
ENSG00000271880_AGAP11,0.14,0.21,0.30,0.02,0.20,0.00,0.00,0.00,0.06
ENSG00000271882_AP001330.5,0.49,0.44,1.04,0.66,0.37,0.00,3.84,0.17,0.75
ENSG00000271886_MIR98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271888_AL136162.1,0.38,0.51,0.45,0.52,0.39,0.26,0.32,0.11,0.30
ENSG00000271889_AC016747.2,0.00,0.00,0.27,0.55,0.00,1.78,0.89,0.00,0.00
ENSG00000271890_OR10AE1P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271892_AC026790.2,9.12,2.91,4.56,0.92,0.35,0.00,0.00,0.00,2.25
ENSG00000271893_AC064834.1,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00
ENSG00000271894_AC007744.1,6.45,4.16,5.19,1.48,2.81,0.23,0.05,0.01,0.43
ENSG00000271895_AL109811.3,6.95,8.97,16.12,54.83,17.30,5.49,4.47,1.69,5.32
ENSG00000271897_AL357518.1,0.15,0.00,0.00,0.00,0.17,0.00,0.18,0.00,0.00
ENSG00000271898_MIR4791,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271899_MIR4466,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271900_AC025627.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271901_AL161716.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271904_AC091826.2,0.00,1.37,0.40,0.44,0.19,0.00,0.00,0.08,0.93
ENSG00000271907_SNORA35B,0.00,0.00,0.00,0.00,14.39,0.00,0.00,0.00,36.96
ENSG00000271911_AL357054.3,0.07,0.06,0.04,0.08,0.09,0.00,0.00,0.01,0.74
ENSG00000271913_AL035530.2,0.77,2.46,1.50,1.68,0.61,1.70,18.34,1.93,3.77
ENSG00000271914_AL139286.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271916_AC012467.1,0.00,1.43,1.39,3.66,1.04,0.00,1.07,0.00,0.00
ENSG00000271917_AL357568.2,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,1.20
ENSG00000271918_AC034236.2,1.02,2.30,1.51,1.57,1.31,1.73,4.00,0.78,1.44
ENSG00000271919_AC005828.7,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.06,0.00
ENSG00000271922_snoU13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271923_RNU6-86P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271924_RNA5SP108,0.00,0.00,0.00,0.00,0.00,0.00,4.61,0.00,0.00
ENSG00000271926_AC008972.1,0.00,0.46,0.04,0.00,0.00,0.00,0.57,0.00,0.19
ENSG00000271930_AC016877.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271931_AL353135.1,0.00,0.36,0.40,0.00,0.00,0.80,5.42,0.26,0.00
ENSG00000271932_RNU6-85P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271933_AL603756.1,0.19,0.25,0.47,0.60,0.09,1.06,1.27,0.19,0.00
ENSG00000271934_OR2AS2P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271936_AC012073.1,0.56,1.31,0.71,0.58,0.52,0.00,0.00,0.00,0.59
ENSG00000271937_AC104187.1,0.13,0.37,0.23,0.70,0.56,0.00,0.00,0.11,0.10
ENSG00000271938_AC103724.4,0.00,0.24,0.00,0.00,0.00,1.18,2.68,0.26,0.00
ENSG00000271941_AC104184.1,0.83,1.30,0.95,7.08,1.85,0.53,0.53,0.40,1.16
ENSG00000271943_AC098614.4,0.00,0.26,0.07,0.00,0.00,0.00,0.67,0.79,0.00
ENSG00000271945_AL590426.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271947_AC017076.1,1.89,0.34,1.38,4.13,2.07,0.00,0.00,0.28,0.11
ENSG00000271949_AC093423.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
ENSG00000271952_LINC01954,0.99,0.47,0.85,0.64,0.46,0.00,0.00,0.00,0.16
ENSG00000271955_AC007100.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271958_AC021860.1,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,1.30
ENSG00000271959_AC100803.3,0.25,0.45,0.33,0.42,0.31,0.00,0.00,0.00,0.63
ENSG00000271963_AC026786.2,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00
ENSG00000271964_AC090948.1,1.05,0.40,1.44,0.83,0.59,0.00,0.41,0.00,1.56
ENSG00000271966_AC021321.1,0.06,0.88,0.27,0.39,0.33,0.49,0.25,0.13,1.51
ENSG00000271967_AL583856.2,1.88,1.35,1.87,3.11,1.91,0.00,0.00,0.00,0.98
ENSG00000271968_ADAM6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271969_U47924.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271970_AL355802.4,0.15,1.09,0.15,0.42,0.24,0.94,0.70,0.18,0.12
ENSG00000271971_AC120053.1,2.49,1.41,1.15,3.75,2.43,0.13,0.10,0.00,1.86
ENSG00000271973_AC141002.1,0.00,1.17,1.46,0.98,0.42,0.00,0.00,0.00,0.00
ENSG00000271974_AC103810.6,0.00,0.00,0.00,0.00,0.00,21.03,49.46,10.92,0.00
ENSG00000271976_AC012467.2,3.84,3.88,4.15,7.14,2.70,0.78,0.67,0.04,3.20
ENSG00000271977_AC226119.2,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.38
ENSG00000271978_AL359643.2,0.36,0.50,0.52,1.17,0.14,0.00,1.11,0.07,0.19
ENSG00000271980_AC012640.4,2.17,1.86,0.65,0.87,0.52,0.00,0.73,0.17,0.12
ENSG00000271981_AL158211.2,0.58,0.19,0.00,0.19,0.20,0.00,0.40,0.09,0.00
ENSG00000271982_SNORD58B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271983_AC023302.1,0.24,0.24,0.35,0.00,0.00,0.00,0.00,0.00,0.42
ENSG00000271984_AL008726.1,1.34,2.38,0.91,1.06,1.07,5.58,12.01,11.92,0.34
ENSG00000271985_BX248123.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271986_RN7SL827P,0.00,0.00,0.34,0.00,0.00,0.00,5.46,1.43,0.00
ENSG00000271989_AL139424.1,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000271991_AC013400.1,0.05,0.16,0.10,0.07,0.00,0.00,0.82,0.00,0.00
ENSG00000271992_AL354872.2,2.66,0.41,0.71,1.16,0.60,0.44,0.00,0.00,0.00
ENSG00000271993_AC126118.1,1.68,1.00,0.94,1.95,1.07,0.00,0.12,0.10,2.59
ENSG00000271996_AC019080.4,0.00,0.04,0.00,0.07,0.00,0.00,1.32,0.00,0.00
ENSG00000271998_AC034229.3,0.06,0.01,0.04,0.00,0.00,0.00,0.03,0.01,0.00
ENSG00000272002_AC010904.2,0.36,0.30,0.56,2.26,1.05,0.00,0.00,0.00,0.59
ENSG00000272004_FO704657.1,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.59
ENSG00000272006_AC037487.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000272008_AL139274.2,0.18,0.20,0.17,1.19,0.45,0.19,1.13,0.52,0.28
ENSG00000272009_AL121944.1,0.61,0.44,0.40,0.66,0.43,0.28,0.85,0.23,0.00
ENSG00000272010_AC100814.1,8.10,1.42,3.88,4.18,3.73,0.00,0.12,0.20,1.01
ENSG00000272015_SNORA62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000272017_AL137784.2,0.90,0.23,0.41,4.97,0.87,0.00,0.66,0.00,0.22
ENSG00000272020_RNU1-30P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
